Vegetable,Season,Month,Temp,Deasaster Happen in last 3month,Vegetable condition
potato,winter,jan,15,no,fresh
tomato ,winter,jan,15,no,fresh
pointed grourd ,winter,jan,15,yes,fresh
Raddish,winter,jan,15,no,fresh
Bitter gourd,winter,jan,15,no,fresh
onion,winter,jan,15,no,fresh
tomato ,winter,jan,15,no,fresh
garlic,winter,jan,15,no,fresh
cabage,winter,jan,15,yes,fresh
califlower,winter,jan,15,no,fresh
chilly,winter,jan,15,no,fresh
okra,winter,jan,15,no,scrap
pumkin,winter,jan,15,no,fresh
brinjal,winter,jan,15,no,fresh
ginger,winter,jan,15,no,fresh